CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"057816102"," ","A W BROWN - FELLOWSHIP NORTH CAMPU","Y","DALLAS","057","X","A W BROWN-FELLOWSHIP LEADERSHIP AC","EE - PK","E"," "," ","10"
"057816101","AEMN","AW BROWN-FELLOWSHIP CHARTER SCHOOL","Y","DALLAS","057","R","A W BROWN-FELLOWSHIP LEADERSHIP AC","KG - 06","E"," "," ","10"
"057829001","RV","A+ ACADEMY","Y","DALLAS","057","A","A+ ACADEMY","PK - 12","B"," "," ","10"
"109901001","AUVJEWNSX","ABBOTT SCHOOL","N","HILL","109","R","ABBOTT ISD","PK - 12","B"," "," ","12"
"095901003"," ","ABERNATHY DAEP","N","HALE","095","X","ABERNATHY ISD","09 - 11","S"," "," ","17"
"095901101","NY","ABERNATHY EL","N","HALE","095","R","ABERNATHY ISD","EE - 05","E"," "," ","17"
"095901001","ARVJS","ABERNATHY H S","N","HALE","095","A","ABERNATHY ISD","09 - 12","S"," "," ","17"
"095901041","AWNS","ABERNATHY J H","N","HALE","095","A","ABERNATHY ISD","06 - 08","M"," "," ","17"
"221901001","JS","ABILENE H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901010","AS","ACADEMY FOR TECHNOLOGY ENGINEERING","N","TAYLOR","221","A","ABILENE ISD","09 - 10","S"," "," ","14"
"221901142"," ","ACADIA ABILENE BEHAVIORAL HEALTH","N","TAYLOR","221","X","ABILENE ISD","01 - 11","B"," "," ","14"
"221901102","EWMNX","AUSTIN EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901153","EMN","BASSETTI EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901103"," ","BONHAM EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901104","N","BOWIE EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901047"," ","CLACK MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901106"," ","COLLEGE HEIGHTS EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901002"," ","COOPER H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901048"," ","CRAIG MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901208"," ","DAY NURSERY OF ABILENE","N","TAYLOR","221","X","ABILENE ISD","PK - PK","E","221901000","ABILENE ISD","14"
